+-------------------------------------------------------------------------------------+-------------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |                  VERSION                  |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
| github.com/fxamacker/cbor/v2                                                        | v2.9.0                                    | v2.9.2                             | true   | true             |
| github.com/getsentry/sentry-go                                                      | v0.35.1                                   | v0.48.0                            | false  | true             |
| github.com/ghemawat/stream                                                          | v0.0.0-20171120220530-696b145b53b9        |                                    | false  | true             |
| github.com/go-errors/errors                                                         | v1.5.1                                    |                                    | false  | true             |
| github.com/go-ini/ini                                                               | v1.67.0                                   | v1.67.3                            | false  | true             |
| github.com/go-kit/log                                                               | v0.2.1                                    |                                    | true   | true             |
| github.com/go-logfmt/logfmt                                                         | v0.5.1                                    | v0.6.1                             | false  | true             |
| github.com/go-logr/logr                                                             | v1.4.2                                    | v1.4.4                             | false  | true             |
| github.com/go-logr/stdr                                                             | v1.2.2                                    |                                    | false  | true             |
| github.com/go-resty/resty/v2                                                        | v2.16.5                                   | v2.17.2                            | true   | true             |
| github.com/goccy/go-json                                                            | v0.10.5                                   | v0.10.6                            | false  | true             |
| github.com/gofrs/flock                                                              | v0.8.1                                    | v0.13.0                            | false  | true             |
| github.com/gogo/googleapis                                                          | v1.4.1                                    |                                    | false  | true             |
| github.com/gogo/protobuf                                                            | v1.3.2                                    |                                    | false  | true             |
| github.com/gogo/status                                                              | v1.1.0                                    | v1.1.1                             | false  | true             |
| github.com/golang-jwt/jwt/v5                                                        | v5.2.2                                    | v5.3.1                             | false  | true             |
| github.com/golang/glog                                                              | v1.2.3                                    | v1.2.5                             | false  | true             |
| github.com/golang/groupcache                                                        | v0.0.0-20210331224755-41bb18bfe9da        | v0.0.0-20241129210726-2c02b8208cf8 | false  | true             |
| github.com/golang/protobuf                                                          | v1.5.4                                    |                                    | false  | true             |
| github.com/golang/snappy                                                            | v1.0.0                                    |                                    | false  | true             |
| github.com/google/btree                                                             | v1.1.3                                    |                                    | false  | true             |
| github.com/google/go-cmp                                                            | v0.7.0                                    |                                    | false  | true             |
| github.com/google/go-pkcs11                                                         | v0.3.0                                    |                                    | false  | true             |
| github.com/google/go-querystring                                                    | v1.1.0                                    | v1.2.0                             | false  | true             |
| github.com/google/martian/v3                                                        | v3.3.3                                    |                                    | false  | true             |
| github.com/google/s2a-go                                                            | v0.1.9                                    |                                    | false  | true             |
| github.com/google/uuid                                                              | v1.6.0                                    |                                    | true   | true             |
| github.com/googleapis/enterprise-certificate-proxy                                  | v0.3.4                                    | v0.3.20                            | false  | true             |
| github.com/googleapis/gax-go/v2                                                     | v2.14.1                                   | v2.23.0                            | false  | true             |
| github.com/guptarohit/asciigraph                                                    | v0.5.5                                    | v0.10.0                            | false  | true             |
| github.com/huaweicloud/huaweicloud-sdk-go-obs                                       | v3.25.4+incompatible                      | v3.26.6+incompatible               | false  | true             |
| github.com/hydrogen18/memlistener                                                   | v1.0.0                                    |                                    | false  | true             |
| github.com/iancoleman/strcase                                                       | v0.3.0                                    |                                    | false  | true             |
| github.com/inconshreveable/mousetrap                                                | v1.0.0                                    | v1.1.0                             | false  | true             |
| github.com/influxdata/tdigest                                                       | v0.0.1                                    |                                    | false  | true             |
| github.com/jmespath/go-jmespath                                                     | v0.4.0                                    |                                    | false  | true             |
| github.com/jpillora/backoff                                                         | v1.0.0                                    |                                    | false  | true             |
| github.com/json-iterator/go                                                         | v1.1.12                                   |                                    | false  | true             |
| github.com/julienschmidt/httprouter                                                 | v1.3.0                                    |                                    | false  | true             |
| github.com/kisielk/errcheck                                                         | v1.5.0                                    | v1.20.0                            | false  | true             |
| github.com/kisielk/gotool                                                           | v1.0.0                                    |                                    | false  | true             |
| github.com/klauspost/compress                                                       | v1.18.0                                   | v1.19.1                            | true   | true             |
| github.com/klauspost/cpuid/v2                                                       | v2.2.11                                   | v2.4.0                             | false  | true             |
| github.com/kr/pretty                                                                | v0.3.1                                    |                                    | false  | true             |
| github.com/kr/text                                                                  | v0.2.0                                    |                                    | false  | true             |
| github.com/kylelemons/godebug                                                       | v1.1.0                                    |                                    | false  | true             |
| github.com/lithammer/go-jump-consistent-hash                                        | v1.0.2                                    |                                    | true   | true             |
| github.com/lucasb-eyer/go-colorful                                                  | v1.2.0                                    | v1.4.1                             | false  | true             |
| github.com/lyft/protoc-gen-star/v2                                                  | v2.0.4-0.20230330145011-496ad1ac90a4      | v2.0.4                             | false  | true             |
| github.com/mattn/go-isatty                                                          | v0.0.20                                   | v0.0.24                            | true   | true             |
| github.com/mattn/go-runewidth                                                       | v0.0.16                                   | v0.0.27                            | false  | true             |
| github.com/matttproud/golang_protobuf_extensions                                    | v1.0.4                                    |                                    | false  | true             |
| github.com/mfridman/tparse                                                          | v0.17.0                                   | v0.18.0                            | false  | true             |
| github.com/minio/crc64nvme                                                          | v1.0.2                                    | v1.1.1                             | false  | true             |
| github.com/minio/md5-simd                                                           | v1.1.2                                    |                                    | false  | true             |
| github.com/minio/minio-go/v7                                                        | v7.0.95                                   | v7.2.1                             | false  | true             |
| github.com/mitchellh/mapstructure                                                   | v1.4.3                                    | v1.5.0                             | false  | true             |
| github.com/modern-go/concurrent                                                     | v0.0.0-20180306012644-bacd9c7ef1dd        |                                    | false  | true             |
| github.com/modern-go/reflect2                                                       | v1.0.2                                    |                                    | false  | true             |
| github.com/mozillazg/go-httpheader                                                  | v0.2.1                                    | v0.4.0                             | false  | true             |
| github.com/muesli/termenv                                                           | v0.15.3-0.20240618155329-98d742f6907a     | v0.16.0                            | false  | true             |
| github.com/munnerz/goautoneg                                                        | v0.0.0-20191010083416-a7dc8b61c822        |                                    | false  | true             |
| github.com/mwitkow/go-conntrack                                                     | v0.0.0-20190716064945-2f068394615f        |                                    | false  | true             |
| github.com/ncw/swift                                                                | v1.0.53                                   |                                    | false  | true             |
| github.com/opentracing/opentracing-go                                               | v1.2.0                                    |                                    | false  | true             |
| github.com/oracle/oci-go-sdk/v65                                                    | v65.41.1                                  | v65.123.0                          | false  | true             |
| github.com/philhofer/fwd                                                            | v1.2.0                                    |                                    | false  | true             |
| github.com/pingcap/errors                                                           | v0.11.4                                   |                                    | false  | true             |
| github.com/pkg/browser                                                              | v0.0.0-20240102092130-5ac0b6a4141c        |                                    | false  | true             |
| github.com/pkg/diff                                                                 | v0.0.0-20210226163009-20ebb0f2a09e        | v0.0.0-20241224192749-4e6772a4315c | false  | true             |
| github.com/pkg/errors                                                               | v0.9.1                                    |                                    | false  | true             |
| github.com/planetscale/vtprotobuf                                                   | v0.6.1-0.20240319094008-0393e58bdf10      |                                    | true   | true             |
| github.com/pmezard/go-difflib                                                       | v1.0.0                                    |                                    | false  | true             |
| github.com/prometheus/client_golang                                                 | v1.23.0                                   | v1.24.1                            | false  | true             |
| github.com/prometheus/client_model                                                  | v0.6.2                                    |                                    | false  | true             |
| github.com/prometheus/common                                                        | v0.65.0                                   | v0.70.1                            | false  | true             |
| github.com/prometheus/procfs                                                        | v0.17.0                                   | v0.21.1                            | false  | true             |
| github.com/rivo/uniseg                                                              | v0.4.7                                    |                                    | false  | true             |
| github.com/rogpeppe/go-internal                                                     | v1.14.1                                   | v1.16.0                            | false  | true             |
| github.com/rs/xid                                                                   | v1.6.0                                    |                                    | false  | true             |
| github.com/russross/blackfriday/v2                                                  | v2.1.0                                    |                                    | false  | true             |
| github.com/satori/go.uuid                                                           | v1.2.1-0.20181028125025-b2ce2384e17b      |                                    | false  | true             |
| github.com/sony/gobreaker                                                           | v0.5.0                                    | v1.0.0                             | false  | true             |
| github.com/spf13/afero                                                              | v1.10.0                                   | v1.15.0                            | false  | true             |
| github.com/spf13/cobra                                                              | v1.0.0                                    | v1.10.2                            | false  | true             |
| github.com/spf13/pflag                                                              | v1.0.5                                    | v1.0.10                            | false  | true             |
| github.com/stretchr/objx                                                            | v0.5.2                                    | v0.5.3                             | false  | true             |
| github.com/stretchr/testify                                                         | v1.11.1                                   |                                    | true   | true             |
| github.com/tencentyun/cos-go-sdk-v5                                                 | v0.7.40                                   | v0.7.75                            | false  | true             |
| github.com/thanos-io/objstore                                                       | v0.0.0-20250813080715-4e5fd4289b50        | v0.0.0-20260615134008-fb6fd3a5170a | true   | true             |
| github.com/tinylib/msgp                                                             | v1.3.0                                    | v1.6.4                             | false  | true             |
| github.com/twmb/murmur3                                                             | v1.1.6                                    | v1.1.8                             | false  | true             |
| github.com/urfave/cli/v2                                                            | v2.27.6                                   | v2.27.7                            | true   | true             |
| github.com/x448/float16                                                             | v0.8.4                                    |                                    | false  | true             |
| github.com/xhit/go-str2duration/v2                                                  | v2.1.0                                    |                                    | false  | true             |
| github.com/xrash/smetrics                                                           | v0.0.0-20240521201337-686a1a2994c1        | v0.0.0-20250705151800-55b8f293f342 | false  | true             |
| github.com/yuin/goldmark                                                            | v1.4.13                                   | v1.8.5                             | false  | true             |
| go.opencensus.io                                                                    | v0.24.0                                   |                                    | false  | true             |
| go.opentelemetry.io/auto/sdk                                                        | v1.1.0                                    | v1.2.1                             | false  | true             |
